annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,proximity,no-group,proximity,no-group
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
closure,proximity,closure,closure,closure
guide,guide,guide,guide,guide
similarity,proximity,proximity,continuity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
no-group,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,no-group,no-group,no-group
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,guide,guide,proximity,proximity
proximity,proximity,proximity,proximity,proximity
no-group,proximity,no-group,closure,closure
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
similarity,similarity,proximity,continuity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
closure,proximity,closure,closure,closure
proximity,proximity,proximity,proximity,proximity
proximity,proximity,no-group,proximity,proximity
proximity,proximity,no-group,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
closure,closure,closure,closure,closure
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,guide,proximity,connectedness
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,proximity
guide,guide,guide,guide,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,guide,proximity,proximity
guide,proximity,guide,proximity,guide
closure,proximity,closure,closure,closure
guide,guide,guide,guide,guide
similarity,similarity,similarity,similarity,similarity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,continuity,proximity
no-group,guide,no-group,no-group,no-group
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
no-group,no-group,no-group,similarity,no-group
proximity,proximity,proximity,proximity,proximity
similarity,similarity,proximity,similarity,symmetry
no-group,no-group,proximity,proximity,proximity
guide,proximity,guide,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
no-group,no-group,no-group,no-group,no-group
proximity,proximity,proximity,proximity,proximity
proximity,proximity,no-group,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
similarity,similarity,similarity,similarity,no-group
guide,guide,guide,guide,guide
no-group,proximity,proximity,no-group,proximity
guide,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
similarity,similarity,proximity,similarity,symmetry
guide,proximity,guide,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
closure,closure,closure,closure,closure
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
continuity,no-group,connectedness,no-group,no-group
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
similarity,similarity,similarity,similarity,similarity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,proximity,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,proximity,no-group,proximity,connectedness
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
no-group,no-group,no-group,similarity,similarity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,proximity,guide,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,no-group,proximity,proximity
guide,guide,guide,guide,guide
no-group,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
no-group,proximity,no-group,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,proximity,guide,proximity,proximity
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,proximity,guide,proximity,guide
proximity,proximity,proximity,proximity,proximity
guide,proximity,guide,proximity,connectedness
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,no-group,no-group,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,no-group
proximity,proximity,proximity,proximity,proximity
guide,guide,guide,guide,guide
similarity,continuity,continuity,continuity,closure
guide,guide,guide,guide,guide
proximity,proximity,proximity,proximity,proximity
